#Weight(ton),Distance(m)
230,1349.9
280,1809
241,1590.8
237,1571.8
289,1768.3
290,1915.6
269,1715.1
262,1674.3
229,1447.7
280,1707
235,1442.2
221,1364.6
259,1603.5
253,1597.9
224,1493.4
242,1469.1
246,1633.1
211,1318
263,1655.5
269,1618.1
292,1739.1
232,1466.5
260,1645.7
222,1419.8
282,1745.5
254,1556.2
280,1777
272,1775.9
220,1472.3
289,1856.3
280,1681
232,1508.5
216,1411.3
298,1912.7
227,1497.1
254,1611.2
295,1864.9
211,1340
219,1377.1
224,1491.4
279,1667.7
251,1589.4
266,1634.3
252,1635.7
278,1729.4
226,1464.9
225,1430.6
260,1615.7
243,1493.3
270,1692.4
242,1567.1
272,1724.9
250,1519.1
254,1628.2
215,1281
232,1525.5
291,1864.8
252,1493.7
226,1413.9
289,1762.3
227,1480.1
256,1628.7
244,1438.6
259,1683.5
255,1687.4
229,1478.7
265,1655.1
276,1792.9
270,1641.4
267,1698.6
299,1881.9
221,1447.6
210,1239.7
291,1738.8
245,1451.8
279,1723.7
223,1433.1
255,1657.4
299,1912.9
224,1380.4
241,1419.8
258,1588.2
252,1619.7
292,1878.1
216,1295.3
211,1284
220,1411.3
269,1783.1
295,1889.9
292,1729.1
291,1838.8
274,1798.4
228,1499.4
255,1510.4
253,1484.9
289,1854.3
279,1769.7
235,1557.2
264,1561.8
293,1783.3
282,1671.5
221,1358.6
298,1894.7
249,1578.9
233,1400.7
246,1522.1
277,1741.2
268,1724.8
242,1615.1
300,1803.2
271,1708.6
291,1801.8
265,1616.1
276,1752.9
259,1687.5
225,1355.6
236,1394.5
294,1817.6
234,1486
291,1746.8
286,1856.5
236,1500.5
253,1546.9
256,1691.7
296,1768.1
211,1324
267,1667.6
219,1384.1
282,1729.5
292,1771.1
259,1639.5
234,1446
265,1709.1
284,1872
214,1399.8
217,1410.5
224,1348.4
271,1701.6
294,1927.6
283,1735.7
218,1414.8
282,1678.5
216,1411.3
228,1425.4
263,1621.5
264,1643.8
224,1454.4
225,1500.6
276,1768.9
268,1714.8
218,1435.8
263,1738.5
243,1607.3
281,1792.2
226,1457.9
277,1707.2
273,1711.1
253,1564.9
286,1800.5
286,1723.5
288,1807
218,1432.8
292,1821.1
215,1249
299,1834.9
264,1580.8
240,1602.5
277,1645.2
241,1489.8
232,1514.5
239,1484.3
258,1605.2
255,1687.4
271,1760.6
211,1352
276,1740.9
257,1550
248,1596.6
248,1513.6
257,1588
295,1884.9
255,1588.4
228,1411.4
219,1438.1
215,1273
289,1718.3
233,1473.7
245,1624.8
288,1729
224,1491.4
263,1568.5
292,1830.1
273,1709.1
271,1771.6
212,1349.2
256,1594.7
259,1671.5
217,1258.5
284,1696
287,1746.8
294,1882.6
234,1485
240,1594.5
259,1713.5
287,1802.8
242,1423.1
275,1628.7
294,1775.6
264,1660.8
217,1290.5
210,1401.7
276,1656.9
261,1687
261,1571
217,1457.5
266,1716.3
260,1668.7
285,1864.3
262,1584.3
260,1591.7
245,1538.8
266,1683.3
300,1809.2
246,1440.1
259,1570.5
284,1705
240,1600.5
219,1455.1
236,1400.5
250,1526.1
249,1514.9
270,1738.4
224,1448.4
243,1574.3
242,1596.1
232,1477.5
227,1359.1
266,1699.3
284,1698
237,1581.8
298,1885.7
216,1410.3
264,1735.8
216,1277.3
224,1321.4
259,1629.5
272,1782.9
217,1367.5
287,1707.8
214,1258.8
247,1632.4
289,1765.3
297,1829.4
255,1569.4
286,1801.5
238,1409
217,1362.5
285,1745.3
220,1465.3
221,1378.6
254,1653.2
289,1730.3
259,1580.5
280,1660
218,1390.8
217,1421.5
211,1354
262,1735.3
233,1374.7
279,1648.7
231,1454.2
263,1586.5
296,1764.1
300,1795.2
286,1758.5
289,1729.3
258,1570.2
293,1853.3
279,1819.7
267,1686.6
210,1324.7
281,1728.2
265,1714.1
225,1413.6
250,1543.1
259,1653.5
295,1860.9
237,1418.8
285,1691.3
250,1619.1
289,1720.3
215,1352
219,1427.1
257,1591
247,1517.4
279,1843.7
250,1660.1
247,1522.4
261,1703
254,1552.2
