#Takeoff_Speed(km/h),Weight(ton)
317,266
301,215
318,286
313,230
319,298
316,264
295,220
300,260
297,220
317,235
312,236
293,264
314,295
316,298
298,237
303,228
304,292
293,227
297,243
318,214
299,223
301,250
304,257
308,254
308,257
314,280
309,249
299,298
313,212
318,240
294,268
304,290
302,224
292,236
317,255
318,283
314,273
298,294
310,295
309,300
295,216
297,250
314,211
299,283
310,229
317,293
293,229
299,269
294,224
290,278
308,274
303,265
313,262
319,226
296,263
305,295
290,274
315,282
299,248
311,214
309,287
296,259
312,240
308,212
295,215
295,267
300,257
304,228
294,281
311,295
299,221
300,242
310,255
307,273
318,250
310,260
312,289
317,255
300,229
291,265
